pub_id,researcher_id,title,year,citations,journal,open_access,grant_id,funding_body,year_awarded,amount_cad,project_title,status,first_name,last_name,field,institution,joined_year,h_index,publications_count,is_active,country,email
P048,R001,Efficient Data Pipelines at Scale,2017,62,ACL,False,G018,SSHRC,2017,75000.0,AI for Climate,pending,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
P046,R020,Efficient Data Pipelines at Scale,2022,115,ICLR,False,G012,CIHR,2018,85000.0,Data for Good,pending,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu
P046,R020,Efficient Data Pipelines at Scale,2022,115,ICLR,False,G029,CFI,2018,129000.0,Multilingual Models,completed,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu
P_HIDDEN,R001,Data Opens Doors: A Manifesto for Open Research,2024,9999,Nature Machine Intelligence,True,G011,CFI,2016,55000.0,Ethical AI,completed,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
P_HIDDEN,R001,Data Opens Doors: A Manifesto for Open Research,2024,9999,Nature Machine Intelligence,True,G018,SSHRC,2017,75000.0,AI for Climate,pending,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
P030,R010,Efficient Data Pipelines at Scale,2014,60,ACL,True,G021,Mitacs,2017,100000.0,Ethical AI,completed,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca
P018,R023,Federated Learning for Privacy Preservation,2010,47,EMNLP,False,G004,CFI,2019,80000.0,AI for Climate,completed,Ivan,Petrov,Machine Learning,University of Toronto,2011,15,45,True,Canada,ivan.petrov@university.edu
P004,R009,Deep Learning for Medical Imaging,2017,179,Nature Machine Intelligence,True,G026,CFI,2019,85000.0,Data for Good,pending,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca
P019,R016,Efficient Data Pipelines at Scale,2018,98,JMLR,False,G009,CIHR,2019,110000.0,Healthcare NLP,pending,Li,Chen,Machine Learning,McGill University,2008,7,21,True,Germany,li.chen@university.edu
P038,R010,Graph Neural Networks for Molecule Prediction,2018,42,JMLR,True,G021,Mitacs,2017,100000.0,Ethical AI,completed,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca
P039,R006,Efficient Data Pipelines at Scale,2019,25,ICML,True,G001,SSHRC,2022,75000.0,Data for Good,active,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P039,R006,Efficient Data Pipelines at Scale,2019,25,ICML,True,G016,Mitacs,2015,50000.0,AI for Climate,pending,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P039,R006,Efficient Data Pipelines at Scale,2019,25,ICML,True,G027,CFI,2021,95000.0,Multilingual Models,pending,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P044,R027,Self-Supervised Learning in Vision,2010,179,Nature Machine Intelligence,True,G003,Mitacs,2016,100000.0,Ethical AI,completed,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu
P044,R027,Self-Supervised Learning in Vision,2010,179,Nature Machine Intelligence,True,G028,CFI,2016,80000.0,Healthcare NLP,active,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu
P034,R010,Transformer Models in Low-Resource Settings,2012,127,NeurIPS,False,G021,Mitacs,2017,100000.0,Ethical AI,completed,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca
P042,R021,Uncertainty Quantification in Neural Networks,2011,65,ICLR,False,G006,CFI,2017,60000.0,Ethical AI,pending,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu
P042,R021,Uncertainty Quantification in Neural Networks,2011,65,ICLR,False,G020,NSERC,2022,80000.0,Ethical AI,completed,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu
P023,R006,Transformer Models in Low-Resource Settings,2011,127,ICML,False,G001,SSHRC,2022,75000.0,Data for Good,active,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P023,R006,Transformer Models in Low-Resource Settings,2011,127,ICML,False,G016,Mitacs,2015,50000.0,AI for Climate,pending,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P023,R006,Transformer Models in Low-Resource Settings,2011,127,ICML,False,G027,CFI,2021,95000.0,Multilingual Models,pending,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P055,R031,Self-Supervised Learning in Vision,2021,143,ICML,False,G019,CIHR,2021,60000.0,Healthcare NLP,active,Jiyeon,Park,Statistics,MIT,2008,9,27,True,UK,jiyeon.park@university.edu
P002,R011,Multi-lingual BERT Fine-Tuning,2016,197,CVPR,True,G007,Mitacs,2017,90000.0,Data for Good,active,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca
P031,R001,Federated Learning for Privacy Preservation,2021,157,Nature Machine Intelligence,True,G011,CFI,2016,55000.0,Ethical AI,completed,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
P031,R001,Federated Learning for Privacy Preservation,2021,157,Nature Machine Intelligence,True,G018,SSHRC,2017,75000.0,AI for Climate,pending,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
P013,R012,Efficient Data Pipelines at Scale,2019,194,ACL,False,G002,SSHRC,2022,50000.0,Data for Good,pending,Sara,Omar,Bioinformatics,University of Waterloo,2019,17,102,True,Palestine,sara.omar@pssar.ca
P029,R034,Deep Learning for Medical Imaging,2020,20,ACL,True,G022,SSHRC,2015,45000.0,Multilingual Models,active,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu
P053,R011,Efficient Data Pipelines at Scale,2021,153,EMNLP,False,G007,Mitacs,2017,90000.0,Data for Good,active,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca
P003,R010,Multi-lingual BERT Fine-Tuning,2012,171,ICLR,True,G021,Mitacs,2017,100000.0,Ethical AI,completed,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca
P037,R034,Self-Supervised Learning in Vision,2019,129,NeurIPS,False,G022,SSHRC,2015,45000.0,Multilingual Models,active,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu
P054,R006,Deep Learning for Medical Imaging,2023,68,Nature Machine Intelligence,False,G001,SSHRC,2022,75000.0,Data for Good,active,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P054,R006,Deep Learning for Medical Imaging,2023,68,Nature Machine Intelligence,False,G016,Mitacs,2015,50000.0,AI for Climate,pending,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P054,R006,Deep Learning for Medical Imaging,2023,68,Nature Machine Intelligence,False,G027,CFI,2021,95000.0,Multilingual Models,pending,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca
P033,R010,Federated Learning for Privacy Preservation,2013,190,JMLR,True,G021,Mitacs,2017,100000.0,Ethical AI,completed,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca
P012,R020,Bias in NLP Benchmarks: A Critical Review,2022,2,ACL,True,G012,CIHR,2018,85000.0,Data for Good,pending,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu
P012,R020,Bias in NLP Benchmarks: A Critical Review,2022,2,ACL,True,G029,CFI,2018,129000.0,Multilingual Models,completed,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu
P020,R011,Graph Neural Networks for Molecule Prediction,2013,151,JMLR,True,G007,Mitacs,2017,90000.0,Data for Good,active,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca
